Chr	Start	End	fill	species	size	color
1	0	335013340	cccccc	G_she	12	black
2	0	254724904	cccccc	G_she	12	black
3	0	191459315	cccccc	G_she	12	black
4	0	120254568	cccccc	G_she	12	black
5	0	119988956	cccccc	G_she	12	black
6	0	95696913	cccccc	G_she	12	black
7	0	87908274	cccccc	G_she	12	black
8	0	76120175	cccccc	G_she	12	black
9	0	25467997	cccccc	G_she	12	black
10	0	23898684	cccccc	G_she	12	black
11	0	19881224	cccccc	G_she	12	black
12	0	16966633	cccccc	G_she	12	black
13	0	16923118	cccccc	G_she	12	black
14	0	16880701	cccccc	G_she	12	black
15	0	12453565	cccccc	G_she	12	black
16	0	9721853	cccccc	G_she	12	black
17	0	9418979	cccccc	G_she	12	black
18	0	8006385	cccccc	G_she	12	black
19	0	7683107	cccccc	G_she	12	black
