Chr	Start	End	fill	species	size	color
1	0	340623792	0d0887	G_ussuri	12	black
2	0	272076671	2e0595	G_ussuri	12	black
3	0	203076995	46039f	G_ussuri	12	black
4	0	134406080	5c01a6	G_ussuri	12	black
5	0	122805809	7201a8	G_ussuri	12	black
6	0	99259852	8808a6	G_ussuri	12	black
7	0	93675145	9c179e	G_ussuri	12	black
8	0	79146131	ad2793	G_ussuri	12	black
9	0	57381734	bd3786	G_ussuri	12	black
10	0	27181165	cc4778	G_ussuri	12	black
11	0	24199037	d8576b	G_ussuri	12	black
12	0	21009094	e3685f	G_ussuri	12	black
13	0	19255245	ed7953	G_ussuri	12	black
14	0	17611041	f58b47	G_ussuri	12	black
15	0	17175000	fb9f3a	G_ussuri	12	black
16	0	13149378	fdb42f	G_ussuri	12	black
17	0	11289862	fdca26	G_ussuri	12	black
18	0	9731100	f8e125	G_ussuri	12	black
19	0	8920326	f0f921	G_ussuri	12	black
1	0	311712589	cccccc	C_vir	12	black
2	0	230514893	cccccc	C_vir	12	black
3	0	179897795	cccccc	C_vir	12	black
4	0	113984505	cccccc	C_vir	12	black
5	0	103290658	cccccc	C_vir	12	black
6	0	87326383	cccccc	C_vir	12	black
7	0	69529916	cccccc	C_vir	12	black
8	0	61662597	cccccc	C_vir	12	black
9	0	22521304	cccccc	C_vir	12	black
10	0	19978502	cccccc	C_vir	12	black
11	0	16785021	cccccc	C_vir	12	black
12	0	16736725	cccccc	C_vir	12	black
13	0	13784772	cccccc	C_vir	12	black
14	0	13760810	cccccc	C_vir	12	black
15	0	12380204	cccccc	C_vir	12	black
16	0	10971997	cccccc	C_vir	12	black
17	0	6767157	cccccc	C_vir	12	black
18	0	5372825	cccccc	C_vir	12	black
