Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	283163239	283189835	placeholder
1	148936096	149069608	1	197470078	197617486	placeholder
8	42966448	43092062	8	37203829	37343263	placeholder
5	21571446	21593801	5	22233017	22258267	placeholder
1	198202236	198243518	1	145865535	145910125	placeholder
2	191945511	192002093	2	198292943	198356122	placeholder
14	14408711	14503783	14	4120095	4265209	placeholder
4	22456142	22582721	4	23261290	23389270	placeholder
1	270038753	270125470	1	72806232	72889103	placeholder
1	126070166	126166134	1	221204697	221279539	placeholder
14	5859568	5915779	14	11667946	11722672	placeholder
1	310054045	310226185	1	31418595	31568906	placeholder
7	41879020	42009147	7	42429264	42563841	placeholder
5	24709095	24743371	5	25450350	25482822	placeholder
1	239740195	239799764	1	103568988	103645219	placeholder
4	56879587	56937975	4	60230166	60302756	placeholder
3	64068408	64111453	3	142199850	142239338	placeholder
3	65933528	65979642	3	140275470	140314186	placeholder
2	47369246	47409108	2	47966423	48014991	placeholder
3	197899120	197959211	3	4942743	5007231	placeholder
2	198317496	198392263	2	204804988	204841094	placeholder
5	77784247	77837529	5	77623948	77667957	placeholder
12	11705357	11955692	10	9911980	10175522	placeholder
1	40467695	40605557	1	309434917	309572005	placeholder
16	10002106	10041753	17	10513721	10556226	placeholder
3	153841800	153945808	3	50332827	50448464	placeholder
13	13692774	13730122	11	14256215	14293581	placeholder
8	55648999	55715066	8	25078274	25147952	placeholder
17	7820850	7849822	18	3333695	3360888	placeholder
1	227650323	227674007	1	115458076	115486463	placeholder
1	55495909	55568752	1	293901496	293988336	placeholder
17	1875274	1969990	18	9577911	9675884	placeholder
1	337045295	337197606	1	3626551	3785700	placeholder
2	152269843	152317762	2	156896390	156941267	placeholder
1	173115847	173225833	1	172281000	172404109	placeholder
7	88785669	88883444	7	83318076	83419099	placeholder
1	226244444	226301853	1	116792562	116856667	placeholder
7	30649792	30742536	7	30803220	30904610	placeholder
16	13020831	13048086	17	13578709	13606766	placeholder
1	254251440	254273160	1	89123970	89144562	placeholder
1	340441203	340457170	1	197785	213925	placeholder
7	15905138	16030611	7	15815697	15938296	placeholder
1	63230614	63248112	1	285994364	286024348	placeholder
1	139247389	139332755	1	207486116	207522785	placeholder
15	14731807	14746046	13	2510960	2525098	placeholder
5	52903400	52945682	5	53622333	53665323	placeholder
4	19829077	19898892	4	20431779	20507031	placeholder
1	143309865	143409578	1	203322893	203427468	placeholder
2	90211784	90306194	2	89332559	89440071	placeholder
16	8925450	9028643	17	9439091	9549994	placeholder
2	103475212	103503025	2	103441719	103466873	placeholder
4	57144996	57220345	4	60517947	60594745	placeholder
6	85593186	85678509	6	14338853	14461034	placeholder
2	243389519	243490749	2	251443795	251553664	placeholder
16	11856908	11882451	17	12414705	12439492	placeholder
1	333403470	333571816	1	7480490	7645451	placeholder
7	29771975	29948810	7	29842233	30048521	placeholder
14	1843998	1869919	14	15717663	15743406	placeholder
1	270326380	270370401	1	72523273	72567782	placeholder
5	38723730	38762385	5	39408907	39456749	placeholder
1	17345116	17409434	1	333394754	333461494	placeholder
1	276478812	276524718	1	66377087	66425514	placeholder
16	10138522	10204439	17	10655735	10727337	placeholder
1	217716540	217754577	1	125892035	125928304	placeholder
1	273477741	273804175	1	69200184	69506230	placeholder
6	30925131	30997296	6	69573396	69654656	placeholder
2	67273630	67354026	2	67832527	67908277	placeholder
8	41225517	41275540	8	39094675	39153106	placeholder
15	4578186	4642046	13	12946317	13002088	placeholder
2	156393146	156424112	2	161311032	161341110	placeholder
1	71974059	72090517	1	276876671	276991747	placeholder
6	89352107	89457309	6	10362489	10487593	placeholder
3	87273107	87430496	3	118322794	118483731	placeholder
5	119878978	119912385	5	119738057	119775546	placeholder
7	31477671	31525503	7	31730198	31759783	placeholder
1	41301800	41347926	1	308591415	308636575	placeholder
4	93612604	93700625	4	96209961	96300659	placeholder
6	97386734	97463640	6	1860899	1938590	placeholder
1	130705502	130730074	1	216328590	216356818	placeholder
14	10099259	10150034	14	7304140	7352789	placeholder
1	39647603	39686272	1	310314696	310363289	placeholder
6	70123998	70172573	6	29613001	29661559	placeholder
2	158407906	158505750	2	163299551	163392597	placeholder
2	100057344	100092342	2	99666273	99703380	placeholder
15	6795598	6816406	13	10780642	10803104	placeholder
1	116661377	116673484	1	231144161	231157297	placeholder
2	217968864	218317612	2	225546848	225911248	placeholder
14	14554076	14601311	14	4311915	4360648	placeholder
1	65642528	65680170	1	283348275	283392877	placeholder
1	277621622	277638293	1	65254646	65271759	placeholder
10	16434487	16447306	15	11062481	11074214	placeholder
2	84884676	84975111	2	84518647	84583535	placeholder
15	1758966	1793963	13	15901261	15937405	placeholder
7	21239400	21296110	7	21118841	21177608	placeholder
2	155944757	155999368	2	160828080	160896387	placeholder
