Chr	Start	End	fill	species	size	color
1	0	375026955	cccccc	N_naj	12	black
2	0	309871788	cccccc	N_naj	12	black
3	0	224088900	cccccc	N_naj	12	black
4	0	191024962	cccccc	N_naj	12	black
5	0	154607413	cccccc	N_naj	12	black
6	0	62775154	cccccc	N_naj	12	black
7	0	54008553	cccccc	N_naj	12	black
8	0	53796468	cccccc	N_naj	12	black
9	0	32026552	cccccc	N_naj	12	black
10	0	30264392	cccccc	N_naj	12	black
11	0	29932115	cccccc	N_naj	12	black
12	0	25974797	cccccc	N_naj	12	black
13	0	25174854	cccccc	N_naj	12	black
14	0	23367679	cccccc	N_naj	12	black
15	0	20042958	cccccc	N_naj	12	black
16	0	17750283	cccccc	N_naj	12	black
17	0	15339066	cccccc	N_naj	12	black
18	0	11847348	cccccc	N_naj	12	black
19	0	10772589	cccccc	N_naj	12	black
