Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	56020399	56044685	0d0887
1	148936096	149069608	1	135363184	135491076	0d0887
8	42966448	43092062	8	35298026	35410704	ad2793
5	21571446	21593801	5	90575715	90598781	7201a8
1	198202236	198243518	1	187462924	187505702	0d0887
2	191945511	192002093	2	58540971	58601151	2e0595
4	22456142	22582721	4	18351197	18468575	5c01a6
1	270038753	270125470	1	252259118	252336957	0d0887
1	126070166	126166134	1	114334050	114431988	0d0887
7	41879020	42009147	7	36715398	36850606	9c179e
5	24709095	24743371	5	87489450	87522290	7201a8
1	239740195	239799764	1	222073575	222129170	0d0887
4	56879587	56937975	4	52186219	52239645	5c01a6
3	64068408	64111453	3	55623615	55662864	46039f
3	65933528	65979642	3	57406483	57451634	46039f
2	47369246	47409108	2	195047611	195087191	2e0595
2	198317496	198392263	2	52548779	52616037	2e0595
5	77784247	77837529	5	40062138	40089970	7201a8
12	11705357	11955692	12	5884666	6084713	e3685f
1	40467695	40605557	1	30189384	30319598	0d0887
16	10002106	10041753	16	7216381	7252208	fdb42f
3	153841800	153945808	3	139600686	139691992	46039f
13	13692774	13730122	14	3163458	3202563	ed7953
8	55648999	55715066	8	46862296	46950993	ad2793
17	7820850	7849822	15	8476809	8501843	fdca26
1	227650323	227674007	1	210267602	210290367	0d0887
1	55495909	55568752	1	45715832	45778065	0d0887
17	1875274	1969990	2	84516745	84553689	fdca26
1	337045295	337197606	17	95467	215320	0d0887
2	152269843	152317762	2	97244544	97289162	2e0595
1	173115847	173225833	1	159220385	159326192	0d0887
1	226244444	226301853	1	208980956	209034735	0d0887
7	30649792	30742536	7	47885134	47957679	9c179e
16	13020831	13048086	16	10892722	10920176	fdb42f
1	254251440	254273160	1	236955029	236977025	0d0887
1	340441203	340457170	2	36706243	36722541	0d0887
7	15905138	16030611	7	62118069	62239479	9c179e
1	63230614	63248112	1	53114697	53141646	0d0887
15	14731807	14746046	11	2561249	2576236	fb9f3a
5	52903400	52945682	5	61224834	61266375	7201a8
4	19829077	19898892	4	15472118	15540526	5c01a6
1	143309865	143409578	1	129913235	130012640	0d0887
2	90211784	90306194	2	157528709	157616105	2e0595
2	103475212	103503025	2	144162241	144174855	2e0595
4	57144996	57220345	4	52462705	52518253	5c01a6
2	243389519	243490749	2	5642033	5833800	2e0595
16	11856908	11882451	16	9685365	9739381	fdb42f
7	29771975	29948810	7	48697605	48870416	9c179e
14	1843998	1869919	15	10477295	10502060	f58b47
1	270326380	270370401	1	252540278	252579831	0d0887
5	38723730	38762385	5	73913174	73952849	7201a8
1	17345116	17409434	1	8320120	8504401	0d0887
1	276478812	276524718	1	258603846	258649320	0d0887
16	10138522	10204439	16	7348422	7467961	fdb42f
1	217716540	217754577	1	201135781	201169673	0d0887
1	273477741	273804175	1	255551361	255795825	0d0887
6	30925131	30997296	6	63427390	63501871	8808a6
2	67273630	67354026	2	176378962	176454854	2e0595
8	41225517	41275540	8	33716022	33772758	ad2793
15	4578186	4642046	11	11891350	11959089	fb9f3a
2	156393146	156424112	2	93102648	93133062	2e0595
1	71974059	72090517	1	61910837	61967318	0d0887
6	89352107	89457309	6	8472274	8548465	8808a6
3	87273107	87430496	3	77777856	77896212	46039f
8	21681298	21700178	8	14563968	14583004	ad2793
5	119878978	119912385	5	1566555	1586777	7201a8
7	31477671	31525503	7	47096543	47109249	9c179e
1	41301800	41347926	1	32079183	32121102	0d0887
4	93612604	93700625	4	84340753	84424482	5c01a6
6	97386734	97463640	6	1868475	1915451	8808a6
1	130705502	130730074	1	118659029	118686663	0d0887
14	10099259	10150034	13	13253115	13296450	f58b47
1	39647603	39686272	1	29549130	29587387	0d0887
6	70123998	70172573	6	25315624	25366391	8808a6
2	158407906	158505750	2	91141948	91237188	2e0595
2	100057344	100092342	2	147621679	147648111	2e0595
15	6795598	6816406	11	9730943	9750616	fb9f3a
1	116661377	116673484	1	103325816	103339334	0d0887
1	65642528	65680170	1	55690434	55890172	0d0887
1	277621622	277638293	1	259666560	259683487	0d0887
10	16434487	16447306	10	10437144	10448717	cc4778
2	84884676	84975111	2	161237851	161300537	2e0595
15	1758966	1793963	11	14880594	14917503	fb9f3a
7	21239400	21296110	7	57055023	57110481	9c179e
2	155944757	155999368	2	93528119	93594803	2e0595
1	265601318	265694508	1	248066253	248139401	0d0887
3	57057604	57110484	3	48959721	49011533	46039f
7	46611936	46651584	7	32100680	32141285	9c179e
5	85860881	85961163	5	33579582	33689999	7201a8
14	16075595	16123807	13	6330056	6377225	f58b47
17	10092750	10111182	15	6061172	6079223	fdca26
3	25696020	25727393	3	19008439	19039152	46039f
1	18148351	18207975	1	9221339	9275988	0d0887
1	286115006	286261800	1	267887106	267993387	0d0887
8	74273556	74304933	8	61147053	61162276	ad2793
1	116303632	116347770	1	103665686	103719001	0d0887
14	6397046	6421387	13	3754796	3777812	f58b47
13	474334	546105	16	879639	909011	ed7953
2	199267891	199304830	2	51590908	51631935	2e0595
1	13668449	13726046	1	4263486	4372111	0d0887
3	152339458	152404353	3	138040324	138101328	46039f
5	8042920	8068159	5	101996698	102021197	7201a8
2	133124550	133156532	2	115835582	115868946	2e0595
12	4882637	4944016	12	12994221	13246026	e3685f
14	9854934	9888403	13	13494724	13521054	f58b47
7	16305383	16355037	7	61823685	61871571	9c179e
3	114830030	114916385	3	100145190	100232289	46039f
1	255446735	255500403	1	238056350	238110064	0d0887
1	268763022	268834137	1	251045393	251136797	0d0887
2	206213535	206273600	2	45027754	45079510	2e0595
5	36410076	36467420	5	76014013	76066337	7201a8
1	71525710	71607930	1	61416682	61493869	0d0887
1	62339399	62392219	1	52315544	52355347	0d0887
7	52747782	52867614	1	105647484	105736300	9c179e
1	272654955	272721331	1	254634907	254696065	0d0887
1	166157898	166199410	1	152090775	152130828	0d0887
6	31417461	31463732	6	62960837	63009789	8808a6
17	9549693	9575015	15	6719797	6746187	fdca26
3	152262743	152301892	3	137962811	138001547	46039f
1	64641729	64776176	1	54664839	54786490	0d0887
