Chr	Start	End	fill	species	size	color
1	0	311712589	cccccc	C_vir	12	black
2	0	230514893	cccccc	C_vir	12	black
3	0	179897795	cccccc	C_vir	12	black
4	0	113984505	cccccc	C_vir	12	black
5	0	103290658	cccccc	C_vir	12	black
6	0	87326383	cccccc	C_vir	12	black
7	0	69529916	cccccc	C_vir	12	black
8	0	61662597	cccccc	C_vir	12	black
9	0	22521304	cccccc	C_vir	12	black
10	0	19978502	cccccc	C_vir	12	black
11	0	16785021	cccccc	C_vir	12	black
12	0	16736725	cccccc	C_vir	12	black
13	0	13784772	cccccc	C_vir	12	black
14	0	13760810	cccccc	C_vir	12	black
15	0	12380204	cccccc	C_vir	12	black
16	0	10971997	cccccc	C_vir	12	black
17	0	6767157	cccccc	C_vir	12	black
18	0	5372825	cccccc	C_vir	12	black
