Species_1	Start_1	End_1	Species_2	Start_2	End_2	fill
1	65746531	65838890	1	69444691	69478162	placeholder
1	148936096	149069608	1	157169005	157309916	placeholder
8	42966448	43092062	8	33908890	34034814	placeholder
5	21571446	21593801	5	103286717	103312406	placeholder
1	198202236	198243518	1	211949868	211992496	placeholder
2	191945511	192002093	2	203926969	203991268	placeholder
14	14408711	14503783	15	2589920	2742394	placeholder
4	22456142	22582721	4	22871511	23002779	placeholder
1	270038753	270125470	1	287808177	287891528	placeholder
1	126070166	126166134	1	133230077	133305587	placeholder
14	5859568	5915779	15	11173563	11230570	placeholder
1	310054045	310226185	1	331876722	332031368	placeholder
7	41879020	42009147	7	42917473	43056359	placeholder
5	24709095	24743371	5	100008363	100044592	placeholder
1	239740195	239799764	1	255640821	255706593	placeholder
3	64068408	64111453	3	145584043	145617350	placeholder
3	65933528	65979642	3	143544657	143579159	placeholder
2	47369246	47409108	2	48728629	48779797	placeholder
3	197899120	197959211	3	3951576	3994309	placeholder
2	198317496	198392263	2	260767886	260838004	placeholder
5	77784247	77837529	5	46588645	46639164	placeholder
12	11705357	11955692	13	8593822	8843802	placeholder
1	40467695	40605557	1	41338180	41478870	placeholder
16	10002106	10041753	16	3212356	3255754	placeholder
3	153841800	153945808	3	50413568	50532316	placeholder
13	13692774	13730122	12	4639413	4678059	placeholder
8	55648999	55715066	8	20642637	20717333	placeholder
1	227650323	227674007	1	242982893	243007659	placeholder
1	55495909	55568752	1	57958084	58025674	placeholder
17	1875274	1969990	17	7682349	7783629	placeholder
1	337045295	337197606	1	359007689	359144599	placeholder
2	152269843	152317762	2	159913028	159958802	placeholder
1	173115847	173225833	1	183876038	184023492	placeholder
7	88785669	88883444	7	86758840	86845641	placeholder
1	226244444	226301853	1	241438834	241492227	placeholder
7	30649792	30742536	7	30844743	30921272	placeholder
16	13020831	13048086	16	78715	106957	placeholder
1	254251440	254273160	1	271237214	271258437	placeholder
1	340441203	340457170	1	361776548	361792780	placeholder
7	15905138	16030611	7	14848310	14970155	placeholder
1	63230614	63248112	1	66595309	66624078	placeholder
1	139247389	139332755	1	147383374	147418976	placeholder
15	14731807	14746046	14	18255428	18270379	placeholder
5	52903400	52945682	5	70221413	70268956	placeholder
4	19829077	19898892	4	19710044	19808944	placeholder
1	143309865	143409578	1	151368423	151468599	placeholder
2	90211784	90306194	2	91862146	91961182	placeholder
16	8925450	9028643	16	3961226	4077250	placeholder
2	103475212	103503025	2	105960419	105969287	placeholder
4	57144996	57220345	4	61239968	61323939	placeholder
6	85593186	85678509	6	16904513	16984176	placeholder
2	243389519	243490749	2	253108504	253224520	placeholder
16	11856908	11882451	16	1228878	1252887	placeholder
1	333403470	333571816	1	355809095	355957671	placeholder
7	29771975	29948810	7	29831538	30035484	placeholder
14	1843998	1869919	15	15064648	15089181	placeholder
1	270326380	270370401	1	288112394	288158173	placeholder
5	38723730	38762385	5	85096838	85146711	placeholder
1	17345116	17409434	1	16412066	16482348	placeholder
1	276478812	276524718	1	294662746	294710266	placeholder
16	10138522	10204439	16	3027748	3099381	placeholder
1	217716540	217754577	1	232368282	232406214	placeholder
1	273477741	273804175	1	291367437	291725338	placeholder
6	30925131	30997296	6	71797378	71869654	placeholder
2	67273630	67354026	2	70045230	70135655	placeholder
8	41225517	41275540	8	35925038	35983671	placeholder
15	4578186	4642046	14	8600535	8676485	placeholder
2	156393146	156424112	2	164531512	164566569	placeholder
1	71974059	72090517	1	75793039	75915757	placeholder
6	89352107	89457309	6	10826235	11124319	placeholder
3	87273107	87430496	3	120692916	120855999	placeholder
8	21681298	21700178	8	58130919	58156155	placeholder
5	119878978	119912385	5	2687756	2717329	placeholder
7	31477671	31525503	7	31838006	31871926	placeholder
1	41301800	41347926	1	42277858	42317650	placeholder
4	93612604	93700625	4	97575236	97697399	placeholder
6	97386734	97463640	6	2114070	2200697	placeholder
1	130705502	130730074	1	138115684	138146686	placeholder
14	10099259	10150034	15	6991572	7041270	placeholder
1	39647603	39686272	1	40566021	40606625	placeholder
6	70123998	70172573	6	29667500	29723271	placeholder
2	158407906	158505750	2	166665368	166767703	placeholder
2	100057344	100092342	2	102049883	102082024	placeholder
15	6795598	6816406	14	11129191	11150794	placeholder
1	116661377	116673484	1	123072330	123085328	placeholder
2	217968864	218317612	2	225502815	225873096	placeholder
